Group ID,Filename,Resolution,Duration (ms),Size (Bytes),Full Path
Group 26,ssstwitter.com_1762819964619.mp4,1280x720,1927537,306900472,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762819964619.mp4
Group 26,ssstwitter.com_1779282953950.mp4,1280x720,1927538,306950447,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 3\ssstwitter.com_1779282953950.mp4
Group 27,ssstwitter.com_1761818029967.mp4,720x720,1770275,179475363,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761818029967.mp4
Group 27,ssstwitter.com_1761124566578.mp4,720x720,1770275,179475470,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761124566578.mp4
Group 28,ssstwitter.com_1761818080014.mp4,1080x1080,1307464,173880655,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761818080014.mp4
Group 28,ssstwitter.com_1765026634188.mp4,1080x1080,1307464,173880655,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1765026634188.mp4
Group 29,ssstwitter.com_1761818264792.mp4,720x720,2639805,244182807,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761818264792.mp4
Group 29,ssstwitter.com_1761161935789.mp4,720x720,2639805,244182807,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761161935789.mp4
Group 30,ssstwitter.com_1761828011472.mp4,720x720,2554307,221770766,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761828011472.mp4
Group 30,ssstwitter.com_1761816310379.mp4,720x720,2554307,222619577,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761816310379.mp4
Group 31,ssstwitter.com_1761832140078.mp4,1080x1080,2052379,367426264,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761832140078.mp4
Group 31,ssstwitter.com_1761287365993.mp4,1080x1080,2052379,367426264,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761287365993.mp4
Group 32,ssstwitter.com_1761950565803.mp4,720x720,1534427,172438448,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761950565803.mp4
Group 32,ssstwitter.com_1761197447557.mp4,720x720,1534427,172438448,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761197447557.mp4
Group 33,ssstwitter.com_1761991417932.mp4,720x724,1227934,123244574,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761991417932.mp4
Group 33,ssstwitter.com_1779282942412.mp4,720x724,1227934,123244574,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 3\ssstwitter.com_1779282942412.mp4
Group 34,ssstwitter.com_1761992373906.mp4,720x720,2411995,171349895,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761992373906.mp4
Group 34,ssstwitter.com_1762420703062.mp4,720x720,2411995,171349895,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762420703062.mp4
Group 35,ssstwitter.com_1761993566412.mp4,720x720,1272510,137388535,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761993566412.mp4
Group 35,ssstwitter.com_1778371636993.mp4,720x720,1272510,137427477,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778371636993.mp4
Group 36,ssstwitter.com_1761994346540.mp4,1080x1080,2038167,415909891,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761994346540.mp4
